week,team,rating,rank,sos,sos_rank,predictor,golden_mean,recent,recent_strong
10,Old Dominion,68.65,72,63.98,84,69.12,69.33,66.04,66.36
10,Marshall,63.03,102,61.44,110,63.04,63.26,60.55,60.50
10,Coastal Carolina,61.79,108,62.23,103,59.74,63.53,59.79,61.34
10,Georgia Southern,60.22,115,63.69,87,60.86,60.73,56.26,54.06
10,Appalachian State,59.11,122,59.54,123,59.06,59.04,56.42,57.28
10,Georgia State,49.46,175,66.98,71,50.49,48.10,45.46,42.03
10,Southern Miss,66.01,84,59.76,119,65.14,65.45,65.96,70.23
10,Troy,64.60,93,61.16,112,63.74,64.26,64.04,64.66
10,Texas State,64.45,95,65.08,78,65.06,64.77,61.42,58.26
10,Arkansas State,63.13,101,62.43,97,61.89,61.90,63.88,65.64
10,Louisiana-Lafayette,61.19,111,62.54,93,61.18,59.77,60.36,59.41
10,South Alabama,58.38,127,62.34,98,60.01,56.76,55.46,52.85
10,LouisianaMonroe(ULM),50.84,164,64.50,81,49.73,53.88,44.24,39.83
10,Notre Dame,90.64,6,75.84,13,90.53,92.01,91.57,92.46
10,Connecticut,66.73,79,56.07,140,66.91,66.06,65.67,66.77
